timestamp_utc,symbol,action,status,amount,confidence,reasoning,rolling_mean,zscore,order_id,trade_id,exit_reason,entry_price,exit_price,pl_pct
2026-09-15T00:55:34+00:00,BTC/USD,HOLD,skipped,,,price is -0.97 standard deviations from its 12h average - no actionable signal,,,,,,,,
2026-09-15T00:55:34+00:00,ETH/USD,HOLD,skipped,,,price is -0.52 standard deviations from its 12h average - no actionable signal,,,,,,,,
2026-09-15T00:55:34+00:00,SOL/USD,HOLD,skipped,,,price is -0.06 standard deviations from its 12h average - no actionable signal,,,,,,,,
2026-09-15T00:55:34+00:00,LINK/USD,HOLD,skipped,,,price is -0.19 standard deviations from its 12h average - no actionable signal,,,,,,,,
2026-09-15T00:55:34+00:00,DOGE/USD,HOLD,skipped,,,price is -1.20 standard deviations from its 12h average - no actionable signal,,,,,,,,
2026-09-15T02:03:47+00:00,BTC/USD,HOLD,skipped,,,price is -0.87 standard deviations from its 12-bar average - no actionable signal,,,,,,,,
2026-09-15T02:03:47+00:00,ETH/USD,HOLD,skipped,,,price is -0.13 standard deviations from its 12-bar average - no actionable signal,,,,,,,,
2026-09-15T02:03:47+00:00,SOL/USD,HOLD,skipped,,,price is -1.43 standard deviations from its 12-bar average - no actionable signal,,,,,,,,
2026-09-15T02:03:47+00:00,LINK/USD,HOLD,skipped,,,price is +2.08 standard deviations from its 12-bar average - no actionable signal,,,,,,,,
2026-09-15T02:03:47+00:00,DOGE/USD,HOLD,skipped,,,price is +0.14 standard deviations from its 12-bar average - no actionable signal,,,,,,,,
2026-09-15T05:55:47+00:00,BTC/USD,HOLD,skipped,,,price is -1.45 standard deviations from its 12h average - no actionable signal,,,,,,,,
2026-09-15T05:55:47+00:00,ETH/USD,BUY,executed,15000.0,66.22873582465606,"price ($2490.5400) is 1.66 standard deviations below its 12h average ($2525.6633) - likely oversold, buying the dip",2525.663333,-1.6557,,f7e07255,,,,
2026-09-15T05:55:47+00:00,SOL/USD,BUY,executed,15000.0,70.23677584028715,"price ($101.2900) is 1.76 standard deviations below its 12h average ($102.6650) - likely oversold, buying the dip",102.665,-1.7559,,da0b5462,,,,
2026-09-15T05:55:47+00:00,LINK/USD,BUY,executed,15000.0,66.15609623710179,"price ($11.4545) is 1.65 standard deviations below its 12h average ($11.6032) - likely oversold, buying the dip",11.603164,-1.6539,,fae024f5,,,,
2026-09-15T05:55:47+00:00,DOGE/USD,BUY,executed,15000.0,61.72610270698953,"price ($0.0831) is 1.54 standard deviations below its 12h average ($0.0841) - likely oversold, buying the dip",0.084116,-1.5432,,87527ddc,,,,
2026-09-15T06:29:52+00:00,BTC/USD,HOLD,skipped,,,price is -1.19 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:29:52+00:00,ETH/USD,HOLD,skipped,,,price is -1.07 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:29:52+00:00,SOL/USD,HOLD,skipped,,,price is -1.28 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:29:52+00:00,LINK/USD,HOLD,skipped,,,price is -1.09 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:29:52+00:00,DOGE/USD,HOLD,skipped,,,price is -1.19 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:31:35+00:00,BTC/USD,HOLD,skipped,,,price is -1.40 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:31:35+00:00,ETH/USD,HOLD,skipped,,,price is -1.29 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:31:35+00:00,SOL/USD,HOLD,skipped,,,price is -1.50 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:31:35+00:00,LINK/USD,HOLD,skipped,,,price is -1.39 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:31:35+00:00,DOGE/USD,HOLD,skipped,,,price is -1.42 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:34:52+00:00,BTC/USD,HOLD,skipped,,,price is -1.40 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:34:52+00:00,ETH/USD,HOLD,skipped,,,price is -1.29 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:34:52+00:00,SOL/USD,HOLD,skipped,,,price is -1.50 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:34:52+00:00,LINK/USD,HOLD,skipped,,,price is -1.39 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T06:34:52+00:00,DOGE/USD,HOLD,skipped,,,price is -1.42 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T12:08:28+00:00,BTC/USD,HOLD,skipped,,,price is -1.16 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T12:08:28+00:00,ETH/USD,HOLD,skipped,,,price is -1.01 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T12:08:28+00:00,SOL/USD,HOLD,skipped,,,price is -0.67 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T12:08:28+00:00,LINK/USD,HOLD,skipped,,,price is -0.85 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T12:08:28+00:00,DOGE/USD,HOLD,skipped,,,price is -1.17 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T16:58:17+00:00,BTC/USD,HOLD,skipped,,,price is -1.26 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T16:58:17+00:00,ETH/USD,HOLD,skipped,,,price is -1.83 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T16:58:17+00:00,SOL/USD,HOLD,skipped,,,price is -1.96 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T16:58:17+00:00,LINK/USD,HOLD,skipped,,,price is -1.40 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T16:58:17+00:00,DOGE/USD,HOLD,skipped,,,price is -1.91 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T19:58:04+00:00,BTC/USD,HOLD,skipped,,,price is -1.83 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T19:58:04+00:00,ETH/USD,HOLD,skipped,,,price is -1.51 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T19:58:04+00:00,SOL/USD,HOLD,skipped,,,price is -2.36 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T19:58:04+00:00,LINK/USD,HOLD,skipped,,,price is -2.32 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T19:58:04+00:00,DOGE/USD,HOLD,skipped,,,price is -2.09 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:15:44+00:00,BTC/USD,HOLD,skipped,,,"price is 2.05 standard deviations below its 48-bar average - a dip, but price is below the long-term trend filter - sitting out a confirmed downtrend",,,,,,,,
2026-09-15T22:15:44+00:00,ETH/USD,HOLD,skipped,,,price is -1.46 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:15:44+00:00,SOL/USD,HOLD,skipped,,,price is -1.72 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:15:44+00:00,LINK/USD,HOLD,skipped,,,price is -2.13 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:15:44+00:00,DOGE/USD,HOLD,skipped,,,price is -1.97 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:30:38+00:00,BTC/USD,HOLD,skipped,,,price is -1.73 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:30:38+00:00,ETH/USD,HOLD,skipped,,,price is -1.23 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:30:38+00:00,SOL/USD,HOLD,skipped,,,price is -1.60 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:30:38+00:00,LINK/USD,HOLD,skipped,,,price is -1.93 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:30:38+00:00,DOGE/USD,HOLD,skipped,,,price is -1.52 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:41:35+00:00,BTC/USD,HOLD,skipped,,,price is -1.73 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:41:35+00:00,ETH/USD,HOLD,skipped,,,price is -1.23 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:41:35+00:00,SOL/USD,HOLD,skipped,,,price is -1.60 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:41:35+00:00,LINK/USD,HOLD,skipped,,,price is -1.93 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:41:35+00:00,DOGE/USD,HOLD,skipped,,,price is -1.52 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:45:34+00:00,BTC/USD,HOLD,skipped,,,price is -1.43 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:45:34+00:00,ETH/USD,HOLD,skipped,,,price is -1.12 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:45:34+00:00,SOL/USD,HOLD,skipped,,,price is -1.44 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:45:34+00:00,LINK/USD,HOLD,skipped,,,price is -1.75 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T22:45:34+00:00,DOGE/USD,HOLD,skipped,,,price is -1.49 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T23:00:46+00:00,BTC/USD,HOLD,skipped,,,price is -1.27 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T23:00:46+00:00,ETH/USD,HOLD,skipped,,,price is -1.05 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T23:00:46+00:00,SOL/USD,HOLD,skipped,,,price is -1.27 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T23:00:46+00:00,LINK/USD,HOLD,skipped,,,price is -1.59 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
2026-09-15T23:00:46+00:00,DOGE/USD,HOLD,skipped,,,price is -1.20 standard deviations from its 48-bar average - no actionable signal,,,,,,,,
